"leader","follower","box_from","box_to","time_leader","time_follower","time_diff_ms"
"900263002586586","900263000641474","D","A",1215191399,1215191429,30
"900263002586583","900263000641474","B","A",3809606573,3809606721,148
"900263000641479","900263002586597","F","E",1465365506,1465365526,20
"900263002586586","900263000641480","E","B",510905276,510905361,85
"900263000641463","900263000641478","B","E",1083095026,1083095098,72
"900263000641480","900263002586586","L","FC4",1667444145,1667444207,62
"900263002586592","900263002586594","B","A",1129797161,1129797258,97
"900263002586586","900263002586583","D","C",3991594509,3991594653,144
"900263002586594","900263000641476","C","D",2462634317,2462634529,212
"900263002586583","900263002586597","FC1","A",576561240,576561284,44
"900263000641463","900263000641478","I","J",2236675198,2236675378,180
"900263000641463","900263000641471","B","E",3291227129,3291227214,85
"900263000641471","900263002586587","B","A",1745070436,1745070451,15
"900263002586584","900263002586586","L","K",1966916377,1966916378,1
"900263000641471","900263002586587","B","E",2708870874,2708870952,78
"900263000641480","900263002586583","A","D",3663425380,3663425625,245
"900263002586583","900263002586594","E","B",700442533,700442675,142
"900263000641474","900263002586597","D","A",1201615743,1201615779,36
"900263000641463","900263002586588","A","FC1",759540182,759540189,7
"900263000641474","900263002586583","E","B",3770053725,3770053834,109
"900263000641479","900263000641474","A","D",1711019086,1711019104,18
"900263002586597","900263002586583","FC1","A",2023483576,2023483704,128
"900263002586583","900263002586592","E","B",2926526199,2926526266,67
